Horario,QuantidadeMedia,TotalMedio
00:00,606289,"77556663,62"
00:30,468066,"49928599,73"
01:00,359267,"36837899,13"
01:30,272086,"27293185,4"
02:00,217117,"23831938,19"
02:30,171019,"17887899,67"
03:00,153013,"179919052,48"
03:30,128179,"127699114,09"
04:00,130834,"237062152,3"
04:30,131361,"136398968,38"
05:00,156917,"61289480,58"
05:30,249081,"75919108,61"
06:00,461959,"266988055,23"
06:30,632668,"216909487,07"
07:00,900074,"355401476,03"
07:30,1135234,"422759791,4"
08:00,1440152,"696322281,64"
08:30,1710986,"803700972,02"
09:00,1952294,"932360282,46"
09:30,2160611,"1012052525,12"
10:00,2317908,"1130558076,02"
10:30,2464752,"1202149525,53"
11:00,2590747,"1295870024,44"
11:30,2682830,"1276723038,16"
12:00,2697295,"1231626606,25"
12:30,2631944,"1077591467,87"
13:00,2516525,"1065411148,56"
13:30,2419723,"1176638618,08"
14:00,2360285,"1282609746,56"
14:30,2340834,"1342723879,12"
15:00,2363899,"1458133782,78"
15:30,2423900,"1592419428,54"
16:00,2468521,"1526491217,99"
16:30,2495693,"1457861925,78"
17:00,2530031,"1223609989,08"
17:30,2564588,"1041356493,56"
18:00,2569187,"847036039,29"
18:30,2564917,"719795547,68"
19:00,2500837,"616288924,73"
19:30,2386579,"540934253,32"
20:00,2202327,"343679334,3"
20:30,1980284,"289210400,08"
21:00,1796020,"246788372,99"
21:30,1603802,"214624259,51"
22:00,1411143,"176763657,63"
22:30,1178066,"140992096,11"
23:00,948148,"109134110,83"
23:30,742245,"93384683,49"
